,Slang,Formal
1272,kk,kakak
1273,trus,terus
1274,kk,kakak
1275,sii,sih
1276,nyenengin,menyenangkan
1277,bgt,banget
1278,gemess,gemas
1279,akuuu,aku
1280,jgn,jangan
1281,yaa,ya
1282,udah,sudah
1283,gitu,begitu
1284,aja,saja
1285,gemesiin,menggemaskan
1286,menyenangkn,menyenangkan
1287,rb,ribu
1288,akau,aku
1289,saranin,menyarankan
1290,nemuin,menemukan
1291,yah,ya
1292,met,selamat
1293,mnis2nya,manis-manisnya
1294,gtu,begitu
1295,tu,itu
1296,idolaa,idola
1297,bangett,banget
1298,kaakk,kak
1299,baaiikkk,baik
1300,telaatt,telat
1301,kaak,kak
1302,yg,yang
1303,lg,lagi
1304,skarang,sekarang
1305,yg,yang
1306,sempet,sempat
1307,karna,karena
1308,ngga,enggak
1309,karna,karena
1310,mantep,mantap
1311,loohhh,loh
1312,yeee,ya
1313,baguuuuus,bagus
1314,sampe,sampai
1315,ngikutin,mengikuti
1316,gayany,gayanya
1317,ngikutin,mengikuti
1318,lg,lagi
1319,bnk,bang
1320,awaas,awas
1321,siip,sip
1322,abizzzz,habis
1323,kerrrrennnn,keren
1324,sayaa,saya
1325,pengen,pengin
1326,kpan,kapan
1327,bgt,banget
1328,sma,sama
1329,sdkit,sedikit
1330,bngt,banget
1331,lgu,lagu
1332,bener2,benar-benar
1333,kharismanya,karismanya
1334,aq,aku
1335,yg,yang
1336,jdi,jadi
1337,lgi,lagi
1338,gk,enggak
1339,kek,kayak
1340,lgunya,lagunya
1341,kpan,kapan
1342,kereeeeennnn,keren
1343,nyamain,menyamakan
1344,slalu,selalu
1345,lakik,laki
1346,siippp,sip
1347,bkn,bukan
1348,nyangka,menyangka
1349,bangettt,banget
1350,kereeen,keren
1351,wihhhhhh,wih
1352,tp,tapi
1353,inget,ingat
1354,bingitsss,banget
1355,dmn,dimana
1356,bird,biru
1357,kaloo,kalo
1358,gimna,bagaimana
1359,tuuh,tuh
1360,nyebur,mencebur
1361,yng,yang
1362,dbuat,dibuat
1363,kn,kan
1364,org,orang
1365,pingin,pengin
1366,bgt,banget
1367,tu,itu
1368,bangcat,bangsat
1369,yha,ya
1370,waoohhh,wah
1371,pngn,pengin
1372,tmpt,tempat
1373,dhe,deh
1374,indahhh,indah
1375,bgttt,banget
1376,tuhh,tuh
1377,berarto,berarti
1378,ga,enggak
1379,aminn,amin
1380,aamiin,amin
1381,amiiinn,amin
1382,dgn,dengan
1383,aminnnn2,amin-amin
1384,amiin,amin
1385,aamiin,amin
1386,amiiiin,amin
1387,amiin,amin
1388,aminnn,amin
1389,amiend,amien
1390,yaaa,ya
1391,ameen,amin
1392,aminnnn,amin
1393,amiiinnn,amin
1394,kek,kayak
1395,ngomong,mengomong
1396,inget,ingat
1397,mamer,memamerkan
1398,keles,kali
1399,jelase,jelas
1400,liat,lihat
1401,uwakk,uwak
1402,ntar,entar
1403,bs,bisa
1404,gini,begini
1405,jgn,jangan
1406,sampe,sampai
1407,aq,aku
1408,salfok,salah fokus
1409,njir,anjir
1410,piiink,pink
1411,astgfrullah,astagfirullah
1412,ko,kok
1413,cd,celana dalam
1414,gbs,enggak bisa
1415,bhs,bahasa
1416,yaaaaaa,ya
1417,gak,enggak
1418,bangshad,bangsat
1419,yaa,ya
1420,stagahhhh,astaga
1421,kpn,kapan
1422,iooo,lo
1423,dy,dia
1424,d,ada
1425,mslh,masalah
1426,qt,kita
1427,jdi,jadi
1428,plampiasannn,pelampiasan
1429,masalahh,masalah
1430,tohh,toh
1431,inghinn,ingin
1432,dhi,di
1433,mengherthii,mengerti
1434,yanckh,yang
1435,chelalyyu,selalu
1436,therchakitty,tersakiti
1437,mauuuuu,mau
1438,kaliii,kali
1439,bangat,banget
1440,bkin,bikin
1441,dongg,dong
1442,yokkk,yuk
1443,gini,begini
1444,yu,yuk
1445,sweger,segar
1446,kereeen,keren
1447,gantengg,ganteng
1448,bingiit,banget
1449,gak,enggak
1450,kebukaaa,terbuka
1451,tpi,tapi
1452,keliatan,kelihatan
1453,yakk,ya
1454,kayakk,kayak
1455,asliii,asli
1456,kyk,kayak
1457,cntiknya,cantiknya
1458,bat,banget
1459,ga,enggak
1460,ngeliatnya,melihatnya
1461,sll,selalu
1462,bet,banget
1463,njerr,anjir
1464,bingiiittttzzzz,banget
1465,bgt,banget
1466,k,kak
1467,klo,kalo
1468,lg,lagi
1469,dooong,dong
1470,masi,masih
1471,gni,begini
1472,kek,kayak
1473,gini,begini
1474,aja,saja
1475,udah,sudah
1476,hdk,hendak
1477,yg,yang
1478,jugaa,juga
1479,mksud,maksud
1480,aj,saja
1481,tetep,tetap
1482,tp,tapi
1483,mbakx,mbaknya
1484,syantik,cantik
1485,syantik,cantik
1486,kite,kita
1487,pa,apa
1488,mksd,maksud
1489,bejilbbnya,berjilbabnya
1490,masio,masih
1491,yahhh,ya
1492,makasih,terima kasih
1493,leh,boleh
1494,ugaaa,juga
1495,yah,ya
1496,jerewi,jerawat
1497,ilang,hilang
1498,jilbabnyaah,jilbabnya
1499,kek,kayak
1500,yuuuk,yuk
1501,warnaaa,warna
1502,punyaaa,punya
1503,cantiik,cantik
1504,sukaaak,suka
1505,kebayanyaa,kebayanya
1506,mantes,memantas
1507,merekaaaa,mereka
1508,jugaaa,juga
1509,gilaaaa,gila
1510,tiga2nya,tiga-tiganya
1511,lucuu,lucu
1512,emessss,gemas
1513,ucullllll,lucu
1514,jdi,jadi
1515,males,malas
1516,bangeettt,banget
1517,gemesshh,gemas
1518,ngomong,mengomong
1519,apaaa,apa
1520,ampuunn,ampun
1521,pengen,pengin
1522,ciuuuummmm,cium
1523,mbil,sambil
1524,ngmng,mengomong
1525,ngemeng,mengomong
1526,epe,apa
1527,seehh,sih
1528,yank,sayang
1529,ucul,lucu
1530,yahh,ya
1531,kek,kayak
1532,gw,gue
1533,lucuu,lucu
1534,ngakak,mengakak
1535,astagfirrullah,astagfirullah
1536,bkn,bukan
1537,tpi,tapi
1538,suerrr,suer
1539,gk,enggak
1540,mnta,minta
1541,lg,lagi
1542,syg,sayang
1543,ntik,cantik
1544,pny,punya
1545,dapet,dapat
1546,kek,kayak
1547,gini,begini
1548,suru,suruh
1549,lucuuuu,lucu
1550,ketawakkkk,ketawa
1551,kyanya,kayanya
1552,bnget,banget
1553,nakutin,menakutkan
1554,malingg,maling
1555,cocokk,cocok
1556,niihh,nih
1557,imutttttt,imut
1558,satuuuuu,satu
1559,sesekk,sesak
1560,nafass,nafas
1561,bgtt,banget
1562,cintaaaaaaa,cinta
1563,lucuk,lucu
1564,lucuk,lucu
1565,ma,sama
1566,duluu,dulu
1567,megang,memegang
1568,ngakak,mengakak
1569,kawinin,mengawini
1570,liatin,memperlihatkan
1571,ny,nya
1572,d,di
1573,bdan,badan
1574,nyaaa,nya
1575,gemesin,menggemaskan
1576,daah,dah
1577,fotoin,memfoto
1578,ngaku,mengaku
1579,kaaa,kak
1580,ganteng2,ganteng-ganteng
1581,pcarny,pacarnya
1582,kri,kiri
1583,knpa,kenapa
1584,pda,pada
1585,cmn,cuman
1586,gara2,gara-gara
1587,garuk2,garuk-garuk
1588,tembokk,tembok
1589,namax,namanya
1590,kiriii,kiri
1591,kyk,kayak
1592,bungkusin,bungkuskan
1593,atu,satu
1594,dehhhh,deh
1595,dongg,dong
1596,kakk,kak
1597,ngegantiin,menggantikan
1598,alloh,allah
1599,smpe,sampai
1600,msh,masih
1601,trsa,terasa
1602,khadirannya,kehadirannya
1603,fikiran,pikiran
1604,hayalanku,khayalanku
1605,bru,baru
1606,nton,menonton
1607,jdi,jadi
1608,ngapain,mengapai
1609,yaa,ya
1610,surgaa,surga
1611,kangenn,kangen
1612,kgn,kangen
1613,kakkkkk,kak
1614,rinduuuuuuuuu,rindu
1615,ninggalin,meninggalkan
1616,smg,semoga
1617,terangkhn,terangkan
1618,bgtttt,banget
1619,knp,kenapa
1620,tuk,untuk
1621,slama,selama
1622,orng,orang
1623,bngunlah,bangunlah
1624,k,kak
1625,bngun,bangun
1626,ea,ya
1627,qu,ku
1628,hiri,hari
1629,klo,kalo
1630,"teman""ny",teman-temannya
1631,gtu,begitu
1632,aza,saja
1633,dr,dari
1634,"teman""ny",teman-temannya
1635,ny,nya
1636,alm,almarhum
1637,skrg,sekarang
1638,knpa,kenapa
1639,sie,sih
1640,benet,benar
1641,bangetttt,banget
1642,tuu,tuh
1643,skrang,sekarang
1644,gda,enggak ada
1645,trus,terus
1646,gantiin,menggantikan
1647,sma,sama
1648,jdi,jadi
1649,gak,enggak
1650,kta,kata
1651,kklau,kalau
1652,d,di
1653,acra,acara
1654,gk,enggak
1655,sma,sama
1656,kasian,kasihan
1657,bangett,banget
1658,yaaa ,ya
1659,bnerr,benar
1660,emk,emak
1661,temenn,teman
1662,pngenn,pengin
1663,terkenall,terkenal
1664,ajhh,saja
1665,gk,enggak
1666,sungguh2,sungguh-sungguh
1667,mnjadi,menjadi
1668,shbt,sahabat
1669,k,kak
1670,bner,benar
1671,bgt,banget
1672,ktny,katanya
1673,shbt,sahabat
1674,skrg,sekarang
1675,pda,pada
1676,dimusiumin,dimuseumkan
1677,ga,enggak
1678,bntu,bantu
1679,pda,pada
1680,dlu,dulu
1681,klo,kalo
1682,gda,enggak ada
1683,pda,pada
1684,udh,sudah
1685,pda,pada
1686,kangem,kangen
1687,amiiin,amin
1688,smua,semua
1689,slmt,selamat
1690,jln,jalan
1691,"mudh""an",mudah-mudahan
1692,tenny,tenang
1693,d,di
1694,sdh,sudah
1695,yg,yang
1696,tnya,tanya
1697,blm,belum
1698,td,tadi
1699,sblm,sebelum
1700,yah,ya
1701,bole,boleh
1702,lahhh,lah
1703,tp,tapi
1704,blm,belum
1705,dapet,dapat
1706,maap,maaf
1707,gk,enggak
1708,cm,cuma
1709,syg,sayang
1710,kmrn,kemarin
1711,wkt,waktu
1712,d,di
1713,ama,sama
1714,ak,aku
1715,lht,lihat
1716,biasa2,biasa-biasa
1717,mnrtkuu,menurutku
1718,trs,terus
1719,ikutin,mengikuti
1720,jdwl,jadwal
1721,yaaa,ya
1722,jgn,jangan
1723,wajiiib,wajib
1724,aaaammmiiiinnnn,amin
1725,dtnggu,ditunggu
1726,yah,ya
1727,jan,jangan
1728,kunjungin,kunjungi
1729,lagiiii,lagi
1730,waktunyaaa,waktunya
1731,diluangin,diluangkan
1732,yaa,ya
1733,makasih,terima kasih
1734,jga,juga
1735,mimin,admin
1736,istimewaaa,istimewa
1737,blom,belum
1738,sempet,sempat
1739,nangis,menangis
1740,karna,karena
1741,"ngaku""",mengaku-ngaku
1742,diaa,dia
1743,donkk,dong
1744,gak,enggak
1745,kejawab,terjawab
1746,yaaaa,ya
1747,seru2an,seru-seruan
1748,mohom,mohon
1749,kebalas,terbalas
1750,yaaa,ya
1751,ikutin,ikuti
1752,nyempetin,menyempatkan
1753,wktunya,waktunya
1754,kaaaa,kak
1755,nyempetin,menyempatkan
1756,ngobrol,mengobrol
1757,bangett,banget
1758,namain,menamai
1759,bls,balas
1760,ijap,ijab
1761,kobul,kabul
1762,dgn,dengan
1763,co,cowok
1764,pst,pasti
1765,inggat,ingat
1766,brdua,berdua
1767,masing2,masih
1768,sdh,sudah
1769,pny,punya
1770,brdua,berdua
1771,sanggat,sangat
1772,siipp,sip
1773,laa,lah
1774,dlm,dalam
1775,hdup,hidup
1776,hdp,hidup
1777,trus,terus
1778,kedpan,kedepan
1779,smoga,semoga
1780,mndaptkan,mendapatkan
1781,yng,yang
1782,"nutup""in",menutup-nutupi
1783,liatin,perlihatkan
1784,iyah,iya
1785,sja,saja
1786,kakkk,kak
1787,za,saja
1788,mulut2,mulut-mulut
1789,peengn,pengin
1790,tuch,tuh
1791,muantteepp,mantap
1792,cpt,cepat
1793,mrit,merit
1794,y,ya
1795,ngapasih,mengapa sih
1796,ni,ini
1797,segitunya,sebegitunya
1798,fto,foto
1799,pke,pakai
1800,males,malas
1801,sisain,menyisakan
1802,slamt,selamat
1803,nantiii,nanti
1804,edaaan,edan
1805,emg,memang
1806,bener2,benar-benar
1807,tunggu2,tunggu-tunggu
1808,sehat2,sehat-sehat
1809,ciyeeeeeee,cie
1810,pantes,pantas
1811,lairannya,kelahirannya
1812,jmnya,jamnya
1813,ajha,saja
1814,ama,sama
1815,nyaaaa,nya
1816,nyari,mencari
1817,amiien,amien
1818,smoga,semoga
1819,terbaikkk,terbaik
1820,ayahh,ayah
1821,ntar,entar
1822,ae,saja
1823,ndak,indak
1824,ngerti,mengerti
1825,mrekaaaa,mereka
1826,yaampuuuunnnn,ya ampun
1827,yha,ya
1828,nyanyiin,menyanyikan
1829,ahhh,ah
1830,bnget,banget
1831,pgen,pengin
1832,hdk,hendak
1833,tempt,tempat
1834,ny,nya
1835,kh,kah
1836,hdk,hendak
1837,bgini,begini
1838,aq,aku
1839,brani,berani
1840,gak,enggak
1841,km,kamu
1842,aq,aku
1843,jalan2,jalan-jalan
1844,yaaa,ya
1845,asyikkkkk,asyik
1846,iriiiii,iri
1847,ngajak,mengajak
1848,yakk,ya
1849,naaaaahh,nah
1850,kka,kakak
1851,jgn,jangan
1852,yak,ya
1853,ttep,tetap
1854,sperti,seperti
1855,jrang,jarang
1856,msuk,masuk
1857,gossip2.an,gosip-gosipan
1858,makkk,mak
1859,ngapain,mengapai
1860,guee,gue
1861,pengennn,pengin
1862,ntar,entar
1863,yeee,ya
1864,klo,kalo
1865,udh,sudah
1866,gilzz,gila
1867,nyaru,menyaru
1868,aja,saja
1869,kk,kakak
1870,gilaaa,gila
1871,jd,jadi
1872,kebarat2an,kebarat-baratan
1873,ohh,oh
1874,mantabs,mantab
1875,jgan,jangan
1876,mlu,malu
1877,payahh,payah
1878,ntaf,mantap
1879,beneran,benaran
1880,"mudah""n",mudah-mudahan
1881,trus,terus
1882,gada,enggak ada
1883,yg,yang
1884,gada,enggak ada
1885,yg,yang
1886,milikin,memiliki
1887,kamo,kamu
1888,inih,ini
1889,tuhh,tuh
1890,suru,suruh
1891,syantik,cantik
1892,sukaaaa,suka
1893,sukaaaaaa,suka
1894,kirain,mengira
1895,mehoonggggg,mahal
1896,apikkkk,apik
1897,yach,ya
1898,kereenn,keren
1899,ginii,begini
1900,ayoook,ayo
1901,yoiii,yoi
1902,gituuu,begitu
1903,iyaaa,iya
1904,pgn,pengin
1905,liptsk,lipstik
1906,dr,dari
1907,nyeplak,menjiplak
1908,bgt,banget
1909,kyk,kayak
1910,cw,cewek
1911,cw,cewek
1912,kmarin,kemarin
1913,mengncang,mengencang
1914,tauu,tau
1915,ksh,kasih
1916,skrng,sekarang
1917,mksh,terima kasih
1918,gara2,gara-gara
1919,ank,anak
1920,skitar,sekitar
1921,ktmu,ketemu
1922,sma,sama
1923,tmen,teman
1924,skrg,sekarang
1925,dlu,dulu
1926,skrg,sekarang
1927,ats,atas
1928,donk,dong
1929,heii,hai
1930,yg,yang
1931,diputusin,diputuskan
1932,pcrnya,pacarnya
1933,gara2,gara-gara
1934,mnjual,menjual
1935,ngadain,mengadakan
1936,ga,enggak
1937,nyangka,menyangka
1938,kkak,kakak
1939,rekomendasiin,merekomendasikan
1940,sihhh,sih
1941,cooocok,cocok
1942,mrip,mirip
1943,bgt,banget
1944,sma,sama
1945,mama.nyy,mamanya
1946,wkt,waktu
1947,lht,lihat
1948,gak,enggak
1949,bosenin,membosankan
1950,kmu,kamu
1951,bukn,bukan
1952,sey,sih
1953,yng,yang
1954,cantikkk,cantik
1955,banger,banget
1956,kaa,kak
1957,bngt,banget
1958,eakyu,waktu
1959,cntik,cantik
1960,ama,sama
1961,amiiin,amin
1962,kakanya,kakaknya
1963,doeloe,dulu
1964,kk,kakak
1965,cantikkkk,cantik
1966,bngtt,banget
1967,udh,sudah
1968,iyak,iya
1969,malh,malah
1970,mlah,malah
1971,kk,kakak
1972,ngak,enggak
1973,laki2,laki-laki
1974,gag,enggak
1975,fhotonya,fotonya
1976,bleh,boleh
1977,km,kamu
1978,brp,berapa
1979,tnggl,tanggal
1980,brp,berapa
1981,tanteny,tantenya
1982,ky,kaya
1983,qt,kita
1984,dlu,dulu
1985,sklinyaa,sekalinya
1986,ayoo,ayo
1987,km,kamu
1988,bs,bisa
1989,jd,jadi
1990,kk,kakak
1991,yah,ya
1992,w,gue
1993,dramaa,drama
1994,niiih,nih
1995,bisaa,bisa
1996,lha,lah
1997,dunk,dong
1998,lihaat,lihat
1999,yuwkkk,yuk
2000,nnti,nanti
2001,editannn,editan
2002,mw,mau
2003,thu,tuh
2004,mai,mau
2005,kamuu,kamu
2006,pastii,pasti
2007,bisaaa,bisa
2008,kejuu,keju
2009,kereen,keren
2010,nama.a,namanya
2011,kmauan,kemauan
2012,ayoo,ayo
2013,ahhhh,ah
2014,yuuuuk,yuk
2015,dmana,dimana
2016,disiniii,disini
2017,cobaa,coba
2018,bayangin,bayangkan
2019,yaudh,ya sudah
2020,bayangin,bayangkan
2021,dl,dulu
2022,ajaaa,saja
2023,tuhhh,tuh
2024,amploppp,amplop
2025,mo,mau
2026,kek,kayak
2027,gini,begini
2028,yaaa,ya
2029,sayangg'',sayang-sayang
2030,nantii,nanti
2031,aminnnn,amin
2032,aminnnnn,amin
2033,gakuat,enggak kuat
2034,yukkkk,yuk
2035,nged,banget
2036,nantik,nanti
2037,ksitu,kesitu
2038,yng,yang
2039,bangeett,banget
2040,slalu,selalu
2041,liad,lihat
2042,kluarga,keluarga
2043,biasahhh,biasa
2044,bgt,banget
2045,sma,sama
2046,kluarga,keluarga
2047,ama,sama
2048,tutorialx,tutorialnya
2049,pke,pakai
2050,yg,yang
2051,dpke,dipakai
2052,kk,kakak
2053,dpke,dipakai
2054,donk,dong
2055,yank,sayang
2056,liat,lihat
2057,fhoto,foto
2058,kerenn,keren
2059,binggo,banget
2060,rekomndd,rekomendasi
2061,donk,dong
2062,dmn,dimana
2063,pngn,pengin
2064,bli2n,beli-belikan
2065,bwt,buat
2066,wado,waduh
2067,guaa,gua
2068,yaakkk,ya
2069,bangetttttyt,banget
2070,bangettttt,banget
2071,bangg,bang
2072,kangeeeeeeeeennnnnnnn,kangen
2073,kaliannnnnn,kalian
2074,rinduuuuuuuuuu,rindu
2075,kangennnnnmnnnnnnnnnnnnnnnnn,kangen
2076,kaliannnnnm,kalian
2077,kangeeeeeeeeeeennnnn,kangen
2078,kangennnnnnnnnnnnnnnn,kangen
2079,kangennn,kangen
2080,kaliannnnnnn,kalian
2081,th2,tahun-tahun
2082,smoga,semoga
2083,dl,dulu
2084,smpt,sempat
2085,blg,bilang
2086,trserah,terserah
2087,ad,ada
2088,yg,yang
2089,d,di
2090,cwo,cowok
2091,trus,terus
2092,prnah,pernah
2093,blg,bilang
2094,lg,lagi
2095,wlwpun,walaupun
2096,trpsah,terpisah
2097,klw,kalau
2098,mmg,memang
2099,alloh,allah
2100,prsatukn,persatukan
2101,mmg,memang
2102,sdh,sudah
2103,klw,kalau
2104,g,enggak
2105,slh,salah
2106,ngomng,mengomong
2107,mdh2an,mudah-mudahan
2108,sm,sama
2109,skedar,sekadar
2110,sperti,seperti
2111,kangennn,kangen
2112,kangeeerrn,kangen
2113,pulak,pula
2114,tpi,tapi
2115,terrrrbaik,terbaik
2116,jorookknya,joroknya
2117,ihhhhh,ih
2118,cobaa,coba
2119,padahall,padahal
2120,jorokkkk,jorok
2121,mualll,mual
2122,klow,kalau
2123,muke,muka
2124,yg,yang
2125,bner,benar
2126,ajh,saja
2127,taiiii,tahi
2128,seneeeeeng,senang
2129,yaa,ya
2130,ga,enggak
2131,nyesel,menyesal
2132,besarin,membesarkan
2133,mksh,terima kasih
2134,tanyang,tayang
2135,ber2,berdua
2136,jngan,jangan
2137,trus,terus
2138,ngelarang,melarang
2139,kerreeen,keren
2140,udh,sudah
2141,pantess,pantas
2142,bngettt,banget
2143,sampe,sampai
2144,baperr,bawa perasaan
2145,sudh,sudah
2146,ga,enggak
2147,sbr,sabar
2148,pngen,pengin
2149,nntn,menonton
2150,ht,hati
2151,pemainy,pemainnya
2152,aq,aku
2153,jga,juga
2154,bnget,banget
2155,ama,sama
2156,aq,aku
2157,jg,juga
2158,aqu,aku
2159,ngeliat,melihat
2160,sampe,sampai
2161,baper,bawa perasaan
2162,smoga,semoga
2163,gk,enggak
2164,akn,akan
2165,bnget,banget
2166,nyampe,sampai
2167,kbawa,terbawa
2168,bradegan,beradegan
2169,sm,sama
2170,baper,bawa perasaan
2171,bnget,banget
2172,smga,semoga
2173,amiiinnnn,amin
2174,mlm,malam
2175,nikahin,menikahi
2176,hadeuh,aduh
2177,bener2,benar-benar
2178,nyambung,menyambung
2179,aq,aku
2180,liyat,lihat
2181,krn,karena
2182,sk,suka
2183,bgt,banget
2184,sm,sama
2185,kluarga,keluarga
2186,adengan,adegan
2187,yaaa,ya
2188,adengan,adegan
2189,engga,enggak
2190,bngtt,banget
2191,bingit,banget
2192,dapetin,mendapati
2193,krn,karena
2194,model2,model-model
2195,sitayngin,ditayangkan
2196,cocokkk,cocok
2197,bgt,banget
2198,mahhhh,mah
2199,bangett,banget
2200,cocokny,cocoknya
2201,smoga,semoga
2202,kaka,kakak
2203,iniw,ini
2204,sma,sama
2205,jga,juga
2206,q,ku
2207,setju,setuju
2208,bngt,banget
2209,sma,sama
2210,bnern,benaran
2211,pcrn,pacaran
2212,klian,kalian
2213,cocokkkk,cocok
2214,bngett,banget
2215,abes,habis
2216,pngen,pengin
2217,kyk,kayak
2218,gtu,begitu
2219,ntar,entar
2220,kek,kayak
2221,gini,begini
2222,br,baru
2223,mksdny,maksudnya
2224,tu,itu
2225,knp,kenapa
2226,kmu,kamu
2227,brpa,berapa
2228,tu,itu
2229,ihh,ih
2230,bgt,banget
2231,sma,sama
2232,aamiin,amin
2233,dlu,dulu
2234,kesampean,kesampaian
2235,beginiiii,begini
2236,ntr,entar
2237,ak,aku
2238,beliin,membelikan
2239,kya,kaya
2240,gini,begini
2241,keq,kek
2242,ngeliat,melihat
2243,ngerasa,merasa
2244,km,kamu
2245,sygkuu,sayangku
2246,lucuuuu,lucu
2247,ngeselin,mengesalkan
2248,bkin,bikin
2249,masi,masih
2250,baju'a,bajunya
2251,fto,foto
2252,gtu,begitu
2253,jg,juga
2254,bgt,banget
2255,gara'',gara-gara
2256,teruss,terus
2257,pokok'a,pokoknya
2258,bg,bang
2259,ubur2,ubur-ubur
2260,kuyy,yuk
2261,bentarr,bentar
2262,kuyy,yuk
2263,klw,kalau
2264,dureen,duren
2265,ajibb,ajib
2266,mahall,mahal
2267,yukk,yuk
2268,niiihh,nih
2269,ubur2,ubur-ubur
2270,donk,dong
2271,imuuttt,imut
2272,imuttzz,imut
2273,nha,nya
2274,asliii,asli
2275,konten2,konten-konten
2276,rasain,rasai
2277,daaaah,deh
2278,asliiii,asli
2279,cantiknnnnyaaaaaaa,cantiknya
2280,yuuk,yuk
2281,ngelihatnya,melihatnya
2282,aqu,aku
2283,bdn,badan
2284,na,nya
2285,ibu2,ibu-ibu
2286,bgt,banget
2287,lau,kau
2288,yaaa,ya
2289,cantikkk,cantik
2290,kakkk,kak
2291,cantikk,cantik
2292,sexxi,seksi
2293,bgt,banget
2294,bulet,bulat
2295,ituu,itu
2296,ngocok,mengocok
2297,ni,ini
2298,yg,yang
2299,mw,mau
2300,nyoba,mencoba
2301,ikutin,mengikuti
2302,gn,begini
2303,yaahhh,ya
2304,kencqng,kencang
2305,ak,aku
2306,kra,kira
2307,kra,kira
2308,msh,masih
2309,diginikan,dibeginikan
2310,"coret""",coret-coret
2311,lahh,lah
2312,gw,gue
2313,gambarin,gambarkan
2314,ntr,entar
2315,klo,kalo
2316,gw,gue
2317,qt,kita
2318,ky,kaya
2319,gini,begini
2320,y,ya
2321,bener2,benar-benar
2322,ngerii,ngeri
2323,digambarin,digambarkan
2324,klen,kalian
2325,kek,kayak
2326,bangke,bangkai
2327,tp,tapi
2328,gw,gue
2329,kog,kok
2330,jd,jadi
2331,yha,ya
2332,liatnya,lihatnya
2333,bedanyaaa,bedanya
2334,sm,sama
2335,negri,negeri
2336,mbk,mbak
2337,pgin,pengin
2338,fto,foto
2339,krudungan,kerudungan
2340,kakk,kak
2341,ajaa,saja
2342,maksutku,maksudku
2343,kerennnnn,keren
2344,njirr,anjir
2345,ngerasa,merasa
2346,bgt,banget
2347,jd'y,jadinya
2348,tp,tapi
2349,manisnyaaaa,manisnya
2350,thun,tahun
2351,brp,berapa
2352,bgt,banget
2353,mbg,mbak
2354,cantikk,cantik
2355,bangeet,banget
2356,sm,sama
2357,km,kamu
2358,jgn,jangan
2359,ngaco,mengaco
2360,ngomen,mengomentari
2361,msh,masih
2362,kaaakk,kak
2363,gituh,begitu
2364,tenggah,tengah
2365,lucuuuu,lucu
2366,yaa,ya
2367,tpi,tapi
2368,akuuu,aku
2369,uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
2370,kocakkkkkkkkkkkkkk,kocak
2371,ksukaanmuuu,kesukaanmu
2372,bagiii,bagi
2373,ayooo,ayo
2374,nontonx,menontonnya
2375,yach,ya
2376,dpn,depan
2377,pi,tapi
2378,tu,itu
2379,penasarannnn,penasaran
2380,gilakkkkkk,gila
2381,mauuu,mau
2382,nontoonnn,menonton
2383,cepet2,cepat-cepat
2384,kepingin,pengin
2385,nontonnnn,menonton
2386,deeek,dek
2387,ntappp,mantap
2388,deg2an,deg-degan
2389,liatnya,lihatnya
2390,cyiiin,cinta
2391,iyha,iya
2392,kureeeen,keren
2393,muantaap,mantap
2394,nontonx,menontonnya
2395,ga,enggak
2396,pake,pakai
2397,ngantri,mengantri
2398,bli,beli
2399,org,orang
2400,nraktir,mentraktir
2401,nonton,menonton
2402,sbnyak,sebanyak
2403,penasaraaann,penasaran
2404,ga,enggak
2405,kyk,kayak
2406,ayoooo,ayo
2407,nii,ini
2408,nontonya,menontonnya
2409,k,ke
2410,kl,kalau
2411,nunggu,menunggu
2412,dpt,dapat
2413,qta,kita
2414,gw,gue
2415,peen,pengin
2416,lw,lu
2417,gga,enggak
2418,nunggu,menunggu
2419,yaah,ya
2420,asikkk,asik
2421,gilak,gila
2422,mcm,macam
2423,ceritax,ceritanya
2424,yoooiii,yoi
2425,daah,deh
2426,kuy,yuk
2427,udahh,sudah
2428,tauuuuu,tau
2429,ngga,enggak
2430,sabarrrrr,sabar
2431,kqmu,kamu
2432,banggain,banggakan
2433,ngadain,mengadakan
2434,ngak,enggak
2435,ngadain,mengadakan
2436,thn,tahun
2437,knp,kenapa
2438,pengan,pengin
2439,ngadain,mengadakan
2440,gk,enggak
2441,sendeng,senang
2442,simpen,simpan
2443,gakk,enggak
2444,bagiin,bagikan
2445,nangis,menangis
2446,nanggepin,menanggapi
2447,pingin,pengin
2448,gk,enggak
2449,sma,sama
2450,kapn,kapan
2451,barang2,barang-barang
2452,sma,sama
2453,kirimin,mengirimi
2454,tpi,tapi
2455,gk,enggak
2456,senengin,senangi
2457,ngasih,mengasih
2458,asikkk,asik
2459,udh,sudah
2460,ama,sama
2461,ampunnnn,ampun
2462,bln,bulan
2463,senengg,senang
2464,teruzzz,terus
2465,gtu,begitu
2466,mantabb,mantab
2467,sumpahh,sumpah
2468,yaa,ya
2469,smua,semua
2470,diluarann,diluaran
2471,trbaik,terbaik
2472,dlam,dalam
2473,smua,semua
2474,anjirrrr,anjir
2475,jendess,janda
2476,dh,deh
2477,sichh,sih
2478,jgn,jangan
2479,pgn,pengin
2480,namnya,namanya
2481,kaka,kakak
2482,gk,enggak
2483,ninggalin,meninggalkan
2484,orng,orang
2485,geh,gih
2486,ma,sama
2487,nggak,enggak
2488,sma,sama
2489,kk,kakak
2490,ber2,berdua
2491,22nya,dua-duanya
2492,aduuhhh,aduh
